Comparison,Mean Diff,t-statistic,p-value,Cohen's d,Significant,Bonferroni Significant,Bonferroni α
Friendly vs Very Friendly,-1.3999999999999915,-1.7009606312275194,0.08957338337217242,-0.030010511227002972,ns,False,0.005
Friendly vs Neutral,-1.5999999999999943,-1.5712317861831153,0.11676265067514331,-0.03432761221294083,ns,False,0.005
Friendly vs Rude,-1.1999999999999886,-1.5018822946293575,0.13376002713006835,-0.025701176212686916,ns,False,0.005
Neutral vs Very Rude,1.4000000000000057,1.4013486396319834,0.16173147436651042,0.030060934196435306,ns,False,0.005
Very Friendly vs Very Rude,1.2000000000000028,1.280020749558196,0.20113258166768488,0.025744046866933868,ns,False,0.005
Rude vs Very Rude,1.0,1.1474418030091444,0.25174890665727384,0.021434895177696367,ns,False,0.005
Neutral vs Rude,0.4000000000000057,0.47103756698001004,0.6378197580896918,0.008624973955108152,ns,False,0.005
Rude vs Very Friendly,-0.20000000000000284,-0.24230722180729444,0.8086416727825587,-0.0043086948622618896,ns,False,0.005
Friendly vs Very Rude,-0.19999999999998863,-0.2180099448006972,0.8275104856004711,-0.004265821602868913,ns,False,0.005
Neutral vs Very Friendly,0.20000000000000284,0.1998078923754225,0.8417122262445814,0.004316248835908137,ns,False,0.005
