Comparison,Mean Diff,t-statistic,p-value,Cohen's d,Significant,Bonferroni Significant,Bonferroni α
Friendly vs Very Friendly,0.7333399999999983,1.5737455935077282,0.11618006101355728,0.01620150780743182,ns,False,0.005
Friendly vs Rude,0.7333399999999983,1.3252575873532129,0.1856921945687057,0.01613153486421925,ns,False,0.005
Friendly vs Very Rude,0.4666600000000045,0.6763341882740423,0.4991418468623804,0.01027827018053601,ns,False,0.005
Neutral vs Rude,0.40003999999998996,0.6185290928628181,0.5365088556157326,0.008790377645448317,ns,False,0.005
Neutral vs Very Friendly,0.40003999999998996,0.5666081848963909,0.5712351675524239,0.008828424916348502,ns,False,0.005
Friendly vs Neutral,0.33330000000000837,0.5125622558888702,0.6084843637570291,0.007361632631211392,ns,False,0.005
Rude vs Very Rude,-0.2666799999999938,-0.4213069330052103,0.6737123815561152,-0.005843696290384042,ns,False,0.005
Very Friendly vs Very Rude,-0.2666799999999938,-0.37108276394611706,0.7107333792663877,-0.005868848382471816,ns,False,0.005
Neutral vs Very Rude,0.13335999999999615,0.16890021479464754,0.8659435717627244,0.002934118558670233,ns,False,0.005
Rude vs Very Friendly,0.0,-5.4088367599538314e-17,1.0,0.0,ns,False,0.005
