Comparison,Mean Diff,t-statistic,p-value,Cohen's d,Significant,Bonferroni Significant,Bonferroni α
Very Friendly vs Very Rude,0.7333399999999983,0.9537398400921169,0.34067711679302315,0.018099259039194238,ns,False,0.005
Friendly vs Rude,0.600040000000007,0.8781726317906237,0.3802726764724912,0.01487993983840651,ns,False,0.005
Friendly vs Very Rude,0.66670000000002,0.8636914804869853,0.3881723436750426,0.016489574532540737,ns,False,0.005
Rude vs Very Friendly,-0.6666799999999853,-0.8389483813865144,0.4018999895496066,-0.01649718964241528,ns,False,0.005
Neutral vs Very Rude,0.4666600000000045,0.5512818344877675,0.5816872442954262,0.011505958653762688,ns,False,0.005
Neutral vs Rude,0.3999999999999915,0.5341377816716627,0.5934840853966383,0.009888196087960929,ns,False,0.005
Neutral vs Very Friendly,-0.2666799999999938,-0.347864963289992,0.7280882898194097,-0.006595245540087476,ns,False,0.005
Friendly vs Neutral,0.20004000000001554,0.28454171310395027,0.7761133148555176,0.00495775112730477,ns,False,0.005
Friendly vs Very Friendly,-0.06663999999997827,-0.10585316065242605,0.9157413958154609,-0.0016532577274625513,ns,False,0.005
Rude vs Very Rude,0.06666000000001304,0.0915696684628494,0.9270766986707254,0.001644515734434172,ns,False,0.005
